host_response_time,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price
within an hour,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1.5,1,2,Real Bed,200,60,1,269,98,strict_14_with_grace_period,2.11,59
within a few hours,FALSE,Centrum-Oost,Townhouse,Private room,2,1,1,1,Real Bed,0,0,2,288,88,strict_14_with_grace_period,2.48,80
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,3,1,1,1,Real Bed,300,40,2,3,100,strict_14_with_grace_period,0.15,125
within an hour,TRUE,Centrum-West,Houseboat,Private room,2,1,1,1,Real Bed,0,0,1,200,99,strict_14_with_grace_period,2.14,155
within an hour,TRUE,Centrum-West,Apartment,Private room,2,1,1,1,Real Bed,0,0,1,295,97,moderate,2.67,75
within an hour,TRUE,Centrum-West,Apartment,Private room,1,1,1,1,Real Bed,0,0,1,446,95,moderate,4.31,55
N/A,TRUE,Zuid,Apartment,Entire home/apt,4,1,3,3,Real Bed,0,60,4,32,95,moderate,0.32,219
within an hour,FALSE,Centrum-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,300,35,1,460,98,strict_14_with_grace_period,4.19,159
N/A,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,0,35,2,690,97,moderate,23.99,210
within a few hours,FALSE,Zuid,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,50,4,61,80,strict_14_with_grace_period,0.56,100
within an hour,TRUE,Centrum-Oost,Apartment,Entire home/apt,4,1.5,2,1,Real Bed,0,50,2,36,94,moderate,0.33,240
N/A,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,50,2,3,93,flexible,0.03,150
within a day,TRUE,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,1,2,2,Real Bed,250,0,2,182,96,flexible,1.66,140
within an hour,FALSE,Centrum-West,Apartment,Entire home/apt,4,2,3,4,Real Bed,0,0,4,190,97,strict_14_with_grace_period,1.96,350
within a few hours,TRUE,Centrum-West,Guest suite,Entire home/apt,4,1,2,2,Real Bed,500,50,2,337,98,strict_14_with_grace_period,3.12,220
a few days or more,FALSE,De Baarsjes - Oud-West,Boat,Entire home/apt,4,1,2,2,Real Bed,400,50,2,103,99,strict_14_with_grace_period,1.01,250
within a day,TRUE,Bos en Lommer,Townhouse,Entire home/apt,6,1,3,3,Real Bed,100,75,4,15,94,moderate,0.23,120
within an hour,FALSE,Westerpark,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,30,2,100,96,strict_14_with_grace_period,1.19,125
within a few hours,FALSE,Centrum-West,Bed and breakfast,Private room,2,1,1,1,Real Bed,0,0,1,261,97,moderate,2.47,115
N/A,TRUE,Bos en Lommer,Apartment,Entire home/apt,3,1,1,3,Real Bed,0,60,2,157,91,strict_14_with_grace_period,1.52,90
within a few hours,FALSE,Oostelijk Havengebied - Indische Buurt,Apartment,Private room,2,1.5,1,1,Real Bed,0,0,1,93,93,strict_14_with_grace_period,0.86,80
within an hour,FALSE,De Pijp - Rivierenbuurt,Guest suite,Private room,2,1,1,1,Real Bed,0,25,2,345,93,moderate,3.21,87
within an hour,TRUE,Westerpark,Guest suite,Private room,2,1,1,1,Real Bed,150,0,1,299,91,flexible,2.91,75
within an hour,FALSE,De Pijp - Rivierenbuurt,Guest suite,Private room,4,1,1,3,Real Bed,0,30,3,288,92,moderate,2.86,60
within an hour,TRUE,Centrum-Oost,Apartment,Private room,2,1,1,1,Futon,0,25,1,168,92,flexible,1.61,86
N/A,FALSE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,90,1,31,95,moderate,0.29,222
N/A,FALSE,Bos en Lommer,Apartment,Entire home/apt,4,1,3,3,Real Bed,500,50,1,3,100,flexible,0.06,250
within an hour,TRUE,Centrum-Oost,Loft,Entire home/apt,3,1,1,1,Real Bed,0,35,2,54,99,strict_14_with_grace_period,0.51,159
N/A,FALSE,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,1,Real Bed,0,15,1,156,97,strict_14_with_grace_period,1.45,60
within an hour,TRUE,Zuid,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,300,0,2,93,97,strict_14_with_grace_period,0.88,149
N/A,FALSE,Centrum-West,Apartment,Entire home/apt,4,1,2,4,Real Bed,250,100,1,1,100,strict_14_with_grace_period,0.01,112
within an hour,TRUE,Centrum-West,Bed and breakfast,Private room,2,1.5,1,1,Real Bed,0,65,2,103,97,strict_14_with_grace_period,1.17,220
within a day,TRUE,Oud-Oost,Apartment,Entire home/apt,2,1,1,1,Real Bed,750,45,1,27,99,strict_14_with_grace_period,0.25,109
within a few hours,TRUE,De Baarsjes - Oud-West,Houseboat,Entire home/apt,2,1.5,1,1,Real Bed,200,35,1,103,98,moderate,1.4,189
within a day,FALSE,Centrum-Oost,Townhouse,Entire home/apt,4,2.5,3,6,Real Bed,500,0,4,27,97,strict_14_with_grace_period,0.26,450
within a day,TRUE,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,25,1,16,94,moderate,0.22,100
within an hour,TRUE,Centrum-West,Serviced apartment,Hotel room,2,1.5,1,2,Real Bed,100,20,1,651,96,strict_14_with_grace_period,6.29,109
within an hour,TRUE,Centrum-West,Serviced apartment,Hotel room,2,1.5,1,2,Real Bed,100,20,1,575,96,strict_14_with_grace_period,5.51,109
within an hour,FALSE,Centrum-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,100,40,2,150,91,strict_14_with_grace_period,1.47,108
within an hour,TRUE,Noord-West,House,Private room,2,1.5,1,1,Real Bed,0,0,1,90,95,flexible,2.12,53
within a few hours,TRUE,Zuid,Apartment,Entire home/apt,4,2.5,2,3,Real Bed,350,70,2,62,99,strict_14_with_grace_period,0.6,220
within a day,TRUE,Centrum-West,Houseboat,Entire home/apt,2,1,1,2,Real Bed,0,0,1,94,95,strict_14_with_grace_period,1.23,175
within an hour,TRUE,Oud-Oost,Apartment,Private room,3,1,1,2,Real Bed,100,25,2,222,95,strict_14_with_grace_period,2.19,105
within an hour,TRUE,Oud-Oost,Apartment,Private room,2,1,1,1,Real Bed,0,15,1,289,94,strict_14_with_grace_period,2.87,70
within a few hours,TRUE,Westerpark,Bed and breakfast,Hotel room,4,1,2,2,Real Bed,0,0,2,54,97,moderate,1.38,135
within an hour,FALSE,Centrum-West,Townhouse,Private room,1,1.5,1,1,Real Bed,0,20,1,199,95,moderate,1.93,105
within an hour,TRUE,Centrum-West,Guesthouse,Entire home/apt,4,1,1,2,Real Bed,0,15,2,786,89,moderate,7.83,95
within a few hours,TRUE,Centrum-West,Apartment,Entire home/apt,4,1,1,2,Real Bed,500,25,2,130,96,moderate,1.27,249
within an hour,TRUE,Centrum-West,Apartment,Private room,1,1.5,1,0,Real Bed,0,0,1,479,94,moderate,7.11,45
within an hour,TRUE,De Baarsjes - Oud-West,Bed and breakfast,Hotel room,2,1,1,1,Real Bed,150,15,1,83,95,strict_14_with_grace_period,0.83,100
N/A,FALSE,De Pijp - Rivierenbuurt,Boat,Entire home/apt,4,1,2,2,Real Bed,150,25,2,29,97,strict_14_with_grace_period,0.29,189
within a day,TRUE,Centrum-Oost,Bed and breakfast,Private room,2,1,1,2,Real Bed,0,25,2,153,85,strict_14_with_grace_period,2.73,75
within an hour,FALSE,Slotervaart,Bed and breakfast,Private room,2,1,1,2,Real Bed,200,50,2,172,90,strict_14_with_grace_period,1.73,40
